Vardas            Pavarde           Galutinis (vidurkis)     
Vardas704         Pavarde704        4.51                     
Vardas705         Pavarde705        4.14                     
Vardas706         Pavarde706        2.26                     
Vardas710         Pavarde710        4.20                     
Vardas715         Pavarde715        3.03                     
Vardas716         Pavarde716        4.37                     
Vardas718         Pavarde718        4.20                     
Vardas720         Pavarde720        4.14                     
Vardas721         Pavarde721        3.77                     
Vardas722         Pavarde722        4.09                     
Vardas726         Pavarde726        3.03                     
Vardas730         Pavarde730        2.09                     
Vardas732         Pavarde732        4.37                     
Vardas736         Pavarde736        4.94                     
Vardas740         Pavarde740        4.63                     
Vardas741         Pavarde741        4.26                     
Vardas746         Pavarde746        3.06                     
Vardas753         Pavarde753        3.69                     
Vardas757         Pavarde757        3.43                     
Vardas759         Pavarde759        3.37                     
Vardas763         Pavarde763        4.91                     
Vardas766         Pavarde766        3.80                     
Vardas773         Pavarde773        4.09                     
Vardas774         Pavarde774        1.80                     
Vardas775         Pavarde775        4.29                     
Vardas778         Pavarde778        4.43                     
Vardas780         Pavarde780        4.66                     
Vardas783         Pavarde783        4.94                     
Vardas784         Pavarde784        3.34                     
Vardas786         Pavarde786        2.63                     
Vardas794         Pavarde794        3.09                     
Vardas798         Pavarde798        3.37                     
Vardas799         Pavarde799        3.57                     
Vardas800         Pavarde800        3.46                     
Vardas804         Pavarde804        3.69                     
Vardas807         Pavarde807        4.23                     
Vardas809         Pavarde809        3.11                     
Vardas810         Pavarde810        4.03                     
Vardas812         Pavarde812        2.71                     
Vardas813         Pavarde813        4.97                     
Vardas815         Pavarde815        2.91                     
Vardas824         Pavarde824        3.06                     
Vardas826         Pavarde826        4.74                     
Vardas828         Pavarde828        4.86                     
Vardas829         Pavarde829        3.20                     
Vardas830         Pavarde830        3.26                     
Vardas831         Pavarde831        2.51                     
Vardas835         Pavarde835        2.31                     
Vardas849         Pavarde849        3.51                     
Vardas850         Pavarde850        3.60                     
Vardas855         Pavarde855        3.74                     
Vardas856         Pavarde856        2.69                     
Vardas858         Pavarde858        4.74                     
Vardas860         Pavarde860        2.80                     
Vardas862         Pavarde862        2.54                     
Vardas863         Pavarde863        4.03                     
Vardas865         Pavarde865        2.14                     
Vardas867         Pavarde867        2.63                     
Vardas873         Pavarde873        3.20                     
Vardas876         Pavarde876        4.29                     
Vardas877         Pavarde877        3.09                     
Vardas880         Pavarde880        3.49                     
Vardas884         Pavarde884        4.14                     
Vardas885         Pavarde885        4.74                     
Vardas886         Pavarde886        4.06                     
Vardas887         Pavarde887        3.54                     
Vardas900         Pavarde900        4.63                     
Vardas903         Pavarde903        4.60                     
Vardas906         Pavarde906        4.03                     
Vardas912         Pavarde912        4.83                     
Vardas916         Pavarde916        3.17                     
Vardas920         Pavarde920        4.86                     
Vardas922         Pavarde922        4.20                     
Vardas924         Pavarde924        3.49                     
Vardas925         Pavarde925        2.14                     
Vardas927         Pavarde927        3.23                     
Vardas928         Pavarde928        2.71                     
Vardas929         Pavarde929        4.63                     
Vardas930         Pavarde930        2.37                     
Vardas931         Pavarde931        3.11                     
Vardas933         Pavarde933        3.26                     
Vardas935         Pavarde935        4.69                     
Vardas938         Pavarde938        3.83                     
Vardas942         Pavarde942        4.17                     
Vardas946         Pavarde946        4.20                     
Vardas948         Pavarde948        4.49                     
Vardas951         Pavarde951        4.40                     
Vardas953         Pavarde953        4.63                     
Vardas954         Pavarde954        2.37                     
Vardas957         Pavarde957        4.97                     
Vardas958         Pavarde958        4.63                     
Vardas960         Pavarde960        2.03                     
Vardas961         Pavarde961        3.77                     
Vardas963         Pavarde963        2.94                     
Vardas966         Pavarde966        4.94                     
Vardas967         Pavarde967        4.80                     
Vardas969         Pavarde969        4.14                     
Vardas976         Pavarde976        4.43                     
Vardas979         Pavarde979        4.37                     
Vardas980         Pavarde980        3.17                     
Vardas981         Pavarde981        3.66                     
Vardas983         Pavarde983        3.49                     
Vardas984         Pavarde984        2.54                     
Vardas985         Pavarde985        3.80                     
Vardas987         Pavarde987        2.66                     
Vardas992         Pavarde992        2.89                     
Vardas993         Pavarde993        4.37                     
Vardas994         Pavarde994        3.31                     
Vardas997         Pavarde997        4.51                     
Vardas999         Pavarde999        4.43                     
Vardas1006        Pavarde1006       4.09                     
Vardas1009        Pavarde1009       3.40                     
Vardas1011        Pavarde1011       2.77                     
Vardas1013        Pavarde1013       3.71                     
Vardas1015        Pavarde1015       2.49                     
Vardas1016        Pavarde1016       2.80                     
Vardas1018        Pavarde1018       3.34                     
Vardas1021        Pavarde1021       3.03                     
Vardas1022        Pavarde1022       3.40                     
Vardas1028        Pavarde1028       4.91                     
Vardas1033        Pavarde1033       3.34                     
Vardas1038        Pavarde1038       4.20                     
Vardas1039        Pavarde1039       4.00                     
Vardas1041        Pavarde1041       4.74                     
Vardas1042        Pavarde1042       4.31                     
Vardas1043        Pavarde1043       4.86                     
Vardas1044        Pavarde1044       2.09                     
Vardas1046        Pavarde1046       4.71                     
Vardas1048        Pavarde1048       4.94                     
Vardas1049        Pavarde1049       4.23                     
Vardas1051        Pavarde1051       2.77                     
Vardas1057        Pavarde1057       2.77                     
Vardas1058        Pavarde1058       3.49                     
Vardas1059        Pavarde1059       2.94                     
Vardas1061        Pavarde1061       3.57                     
Vardas1062        Pavarde1062       4.37                     
Vardas1064        Pavarde1064       3.34                     
Vardas1065        Pavarde1065       4.63                     
Vardas1066        Pavarde1066       4.14                     
Vardas1074        Pavarde1074       3.49                     
Vardas1076        Pavarde1076       3.23                     
Vardas1085        Pavarde1085       4.20                     
Vardas1090        Pavarde1090       3.00                     
Vardas1093        Pavarde1093       2.91                     
Vardas1095        Pavarde1095       3.89                     
Vardas1096        Pavarde1096       3.31                     
Vardas1098        Pavarde1098       2.49                     
Vardas1099        Pavarde1099       4.23                     
Vardas1103        Pavarde1103       4.86                     
Vardas1104        Pavarde1104       3.26                     
Vardas1105        Pavarde1105       4.40                     
Vardas1107        Pavarde1107       4.37                     
Vardas1109        Pavarde1109       2.86                     
Vardas1112        Pavarde1112       4.94                     
Vardas1113        Pavarde1113       4.91                     
Vardas1122        Pavarde1122       2.54                     
Vardas1124        Pavarde1124       4.74                     
Vardas1129        Pavarde1129       4.51                     
Vardas1131        Pavarde1131       4.86                     
Vardas1132        Pavarde1132       4.91                     
Vardas1134        Pavarde1134       3.14                     
Vardas1138        Pavarde1138       4.00                     
Vardas1140        Pavarde1140       4.09                     
Vardas1141        Pavarde1141       3.71                     
Vardas1144        Pavarde1144       1.69                     
Vardas1145        Pavarde1145       4.57                     
Vardas1148        Pavarde1148       3.71                     
Vardas1149        Pavarde1149       3.03                     
Vardas1150        Pavarde1150       4.29                     
Vardas1151        Pavarde1151       4.31                     
Vardas1152        Pavarde1152       4.97                     
Vardas1154        Pavarde1154       4.31                     
Vardas1156        Pavarde1156       4.77                     
Vardas1158        Pavarde1158       2.97                     
Vardas1160        Pavarde1160       3.74                     
Vardas1163        Pavarde1163       3.83                     
Vardas1167        Pavarde1167       3.91                     
Vardas1169        Pavarde1169       4.11                     
Vardas1172        Pavarde1172       3.11                     
Vardas1176        Pavarde1176       3.54                     
Vardas1177        Pavarde1177       4.89                     
Vardas1178        Pavarde1178       4.29                     
Vardas1179        Pavarde1179       3.43                     
Vardas1181        Pavarde1181       3.09                     
Vardas1184        Pavarde1184       3.26                     
Vardas1185        Pavarde1185       4.80                     
Vardas1190        Pavarde1190       4.31                     
Vardas1195        Pavarde1195       2.91                     
Vardas1197        Pavarde1197       2.49                     
Vardas1201        Pavarde1201       2.89                     
Vardas1206        Pavarde1206       2.91                     
Vardas1208        Pavarde1208       3.89                     
Vardas1211        Pavarde1211       4.20                     
Vardas1214        Pavarde1214       2.77                     
Vardas1215        Pavarde1215       4.91                     
Vardas1219        Pavarde1219       4.11                     
Vardas1221        Pavarde1221       3.06                     
Vardas1222        Pavarde1222       2.31                     
Vardas1223        Pavarde1223       3.34                     
Vardas1224        Pavarde1224       3.97                     
Vardas1225        Pavarde1225       4.89                     
Vardas1232        Pavarde1232       4.86                     
Vardas1233        Pavarde1233       4.80                     
Vardas1241        Pavarde1241       2.54                     
Vardas1242        Pavarde1242       2.43                     
Vardas1244        Pavarde1244       3.80                     
Vardas1246        Pavarde1246       2.86                     
Vardas1247        Pavarde1247       3.43                     
Vardas1256        Pavarde1256       2.43                     
Vardas1259        Pavarde1259       3.20                     
Vardas1263        Pavarde1263       4.57                     
Vardas1265        Pavarde1265       4.69                     
Vardas1266        Pavarde1266       3.34                     
Vardas1268        Pavarde1268       3.97                     
Vardas1272        Pavarde1272       2.71                     
Vardas1276        Pavarde1276       3.60                     
Vardas1278        Pavarde1278       3.63                     
Vardas1279        Pavarde1279       3.83                     
Vardas1281        Pavarde1281       3.57                     
Vardas1286        Pavarde1286       4.34                     
Vardas1288        Pavarde1288       4.60                     
Vardas1289        Pavarde1289       2.77                     
Vardas1290        Pavarde1290       2.69                     
Vardas1295        Pavarde1295       3.97                     
Vardas1298        Pavarde1298       4.31                     
Vardas1302        Pavarde1302       3.23                     
Vardas1306        Pavarde1306       4.11                     
Vardas1308        Pavarde1308       4.06                     
Vardas1313        Pavarde1313       3.54                     
Vardas1315        Pavarde1315       3.54                     
Vardas1318        Pavarde1318       3.46                     
Vardas1322        Pavarde1322       3.57                     
Vardas1323        Pavarde1323       3.49                     
Vardas1324        Pavarde1324       2.91                     
Vardas1325        Pavarde1325       4.11                     
Vardas1327        Pavarde1327       2.43                     
Vardas1328        Pavarde1328       3.14                     
Vardas1330        Pavarde1330       4.54                     
Vardas1333        Pavarde1333       3.97                     
Vardas1334        Pavarde1334       3.69                     
Vardas1336        Pavarde1336       3.57                     
Vardas1339        Pavarde1339       2.77                     
Vardas1341        Pavarde1341       2.80                     
Vardas1344        Pavarde1344       4.49                     
Vardas1346        Pavarde1346       3.37                     
Vardas1348        Pavarde1348       3.94                     
Vardas1349        Pavarde1349       3.71                     
Vardas1351        Pavarde1351       3.86                     
Vardas1352        Pavarde1352       4.49                     
Vardas1355        Pavarde1355       1.80                     
Vardas1356        Pavarde1356       3.86                     
Vardas1361        Pavarde1361       2.66                     
Vardas1363        Pavarde1363       2.91                     
Vardas1364        Pavarde1364       4.29                     
Vardas1366        Pavarde1366       2.66                     
Vardas1367        Pavarde1367       2.71                     
Vardas1368        Pavarde1368       4.20                     
Vardas1369        Pavarde1369       3.66                     
Vardas1380        Pavarde1380       4.77                     
Vardas1381        Pavarde1381       4.71                     
Vardas1382        Pavarde1382       3.49                     
Vardas1389        Pavarde1389       2.66                     
Vardas1390        Pavarde1390       2.83                     
Vardas1394        Pavarde1394       2.57                     
Vardas1398        Pavarde1398       4.63                     
Vardas1399        Pavarde1399       3.06                     
Vardas1400        Pavarde1400       4.66                     
Vardas1402        Pavarde1402       2.94                     
Vardas1410        Pavarde1410       4.09                     
Vardas1412        Pavarde1412       4.40                     
Vardas1415        Pavarde1415       2.43                     
Vardas1426        Pavarde1426       3.54                     
Vardas1428        Pavarde1428       2.89                     
Vardas1432        Pavarde1432       4.03                     
Vardas1434        Pavarde1434       3.00                     
Vardas1436        Pavarde1436       4.63                     
Vardas1437        Pavarde1437       2.54                     
Vardas1439        Pavarde1439       4.60                     
Vardas1443        Pavarde1443       3.94                     
Vardas1447        Pavarde1447       3.14                     
Vardas1448        Pavarde1448       2.83                     
Vardas1449        Pavarde1449       3.11                     
Vardas1452        Pavarde1452       4.63                     
Vardas1453        Pavarde1453       3.11                     
Vardas1456        Pavarde1456       4.63                     
Vardas1457        Pavarde1457       4.51                     
Vardas1460        Pavarde1460       3.63                     
Vardas1463        Pavarde1463       3.17                     
Vardas1465        Pavarde1465       3.57                     
Vardas1467        Pavarde1467       4.51                     
Vardas1471        Pavarde1471       3.97                     
Vardas1473        Pavarde1473       3.86                     
Vardas1478        Pavarde1478       3.60                     
Vardas1479        Pavarde1479       4.46                     
Vardas1480        Pavarde1480       3.71                     
Vardas1482        Pavarde1482       3.29                     
Vardas1484        Pavarde1484       3.34                     
Vardas1487        Pavarde1487       4.40                     
Vardas1489        Pavarde1489       4.23                     
Vardas1490        Pavarde1490       3.03                     
Vardas1492        Pavarde1492       3.14                     
Vardas1495        Pavarde1495       2.66                     
Vardas1501        Pavarde1501       4.66                     
Vardas1502        Pavarde1502       3.29                     
Vardas1503        Pavarde1503       3.74                     
Vardas1505        Pavarde1505       4.49                     
Vardas1506        Pavarde1506       3.43                     
Vardas1509        Pavarde1509       4.34                     
Vardas1510        Pavarde1510       3.40                     
Vardas1511        Pavarde1511       4.40                     
Vardas1512        Pavarde1512       4.83                     
Vardas1518        Pavarde1518       4.86                     
Vardas1519        Pavarde1519       4.29                     
Vardas1521        Pavarde1521       4.06                     
Vardas1522        Pavarde1522       2.69                     
Vardas1526        Pavarde1526       4.60                     
Vardas1531        Pavarde1531       4.14                     
Vardas1532        Pavarde1532       4.86                     
Vardas1533        Pavarde1533       4.91                     
Vardas1537        Pavarde1537       2.57                     
Vardas1538        Pavarde1538       2.66                     
Vardas1539        Pavarde1539       3.69                     
Vardas1541        Pavarde1541       4.03                     
Vardas1544        Pavarde1544       3.14                     
Vardas1545        Pavarde1545       3.31                     
Vardas1548        Pavarde1548       4.69                     
Vardas1550        Pavarde1550       2.83                     
Vardas1552        Pavarde1552       3.43                     
Vardas1558        Pavarde1558       4.23                     
Vardas1560        Pavarde1560       4.09                     
Vardas1562        Pavarde1562       3.63                     
Vardas1563        Pavarde1563       4.57                     
Vardas1567        Pavarde1567       3.23                     
Vardas1568        Pavarde1568       4.77                     
Vardas1569        Pavarde1569       3.00                     
Vardas1571        Pavarde1571       4.34                     
Vardas1572        Pavarde1572       4.91                     
Vardas1575        Pavarde1575       2.94                     
Vardas1580        Pavarde1580       3.29                     
Vardas1582        Pavarde1582       3.86                     
Vardas1583        Pavarde1583       3.66                     
Vardas1585        Pavarde1585       3.89                     
Vardas1591        Pavarde1591       3.11                     
Vardas1595        Pavarde1595       3.97                     
Vardas1596        Pavarde1596       3.31                     
Vardas1605        Pavarde1605       4.51                     
Vardas1611        Pavarde1611       3.83                     
Vardas1614        Pavarde1614       2.94                     
Vardas1616        Pavarde1616       4.97                     
Vardas1618        Pavarde1618       2.43                     
Vardas1620        Pavarde1620       3.54                     
Vardas1629        Pavarde1629       3.63                     
Vardas1630        Pavarde1630       3.29                     
Vardas1631        Pavarde1631       4.40                     
Vardas1632        Pavarde1632       3.31                     
Vardas1633        Pavarde1633       3.31                     
Vardas1634        Pavarde1634       4.54                     
Vardas1639        Pavarde1639       4.83                     
Vardas1640        Pavarde1640       4.51                     
Vardas1641        Pavarde1641       3.11                     
Vardas1644        Pavarde1644       3.37                     
Vardas1648        Pavarde1648       3.63                     
Vardas1649        Pavarde1649       4.71                     
Vardas1652        Pavarde1652       3.31                     
Vardas1656        Pavarde1656       4.31                     
Vardas1659        Pavarde1659       3.86                     
Vardas1661        Pavarde1661       4.06                     
Vardas1663        Pavarde1663       4.57                     
Vardas1668        Pavarde1668       2.54                     
Vardas1670        Pavarde1670       4.14                     
Vardas1671        Pavarde1671       3.34                     
Vardas1673        Pavarde1673       3.49                     
Vardas1675        Pavarde1675       4.11                     
Vardas1677        Pavarde1677       2.49                     
Vardas1679        Pavarde1679       3.49                     
Vardas1682        Pavarde1682       4.11                     
Vardas1687        Pavarde1687       2.31                     
Vardas1694        Pavarde1694       4.31                     
Vardas1695        Pavarde1695       3.77                     
Vardas1697        Pavarde1697       4.43                     
Vardas1701        Pavarde1701       4.91                     
Vardas1705        Pavarde1705       3.51                     
Vardas1707        Pavarde1707       2.37                     
Vardas1709        Pavarde1709       2.89                     
Vardas1711        Pavarde1711       2.94                     
Vardas1715        Pavarde1715       4.74                     
Vardas1716        Pavarde1716       3.57                     
Vardas1718        Pavarde1718       2.57                     
Vardas1719        Pavarde1719       4.26                     
Vardas1724        Pavarde1724       4.46                     
Vardas1726        Pavarde1726       4.57                     
Vardas1728        Pavarde1728       4.91                     
Vardas1731        Pavarde1731       3.57                     
Vardas1732        Pavarde1732       2.63                     
Vardas1738        Pavarde1738       4.57                     
Vardas1739        Pavarde1739       3.09                     
Vardas1740        Pavarde1740       3.71                     
Vardas1744        Pavarde1744       4.74                     
Vardas1747        Pavarde1747       3.49                     
Vardas1748        Pavarde1748       3.23                     
Vardas1752        Pavarde1752       4.80                     
Vardas1754        Pavarde1754       4.57                     
Vardas1755        Pavarde1755       3.09                     
Vardas1760        Pavarde1760       2.03                     
Vardas1763        Pavarde1763       4.83                     
Vardas1764        Pavarde1764       4.89                     
Vardas1767        Pavarde1767       4.94                     
Vardas1770        Pavarde1770       3.80                     
Vardas1778        Pavarde1778       2.97                     
Vardas1779        Pavarde1779       2.66                     
Vardas1785        Pavarde1785       3.29                     
Vardas1786        Pavarde1786       3.91                     
Vardas1795        Pavarde1795       2.26                     
Vardas1796        Pavarde1796       3.97                     
Vardas1800        Pavarde1800       3.51                     
Vardas1801        Pavarde1801       2.66                     
Vardas1805        Pavarde1805       3.26                     
Vardas1808        Pavarde1808       4.26                     
Vardas1809        Pavarde1809       3.66                     
Vardas1810        Pavarde1810       4.80                     
Vardas1811        Pavarde1811       3.71                     
Vardas1814        Pavarde1814       2.94                     
Vardas1816        Pavarde1816       4.14                     
Vardas1820        Pavarde1820       2.77                     
Vardas1821        Pavarde1821       3.43                     
